Land	Ganztag	Teiltag	Ubernachtung
Afghanistan	 30	 20	 95
Ägypten	50	 33	 112
Äthiopien	 44	 29	 159
Äquatorialguinea	42	 28	 166
Albanien	 27	 18	 112
Algerien	 47	 32	 120
Andorra	41	 28	 91
Angola	 40	 27	 368
Argentinien	 35	 24	 113
Armenien	 29	 20	 107
Aserbaidschan	44	 29	 88
Australien
- Canberra	 74	 49	 186
- Sydney	57	 38	 173
- im Übrigen	 57	 38	 173
Bahrain	48	 32	 153
Bangladesch	 46	 31	 189
Barbados	 54	 36	 206
Belgien	59	 40	 141
Benin	 40	 27	 168
Bhutan	 27	 18	 176
Bolivien	 46	 31	 108
Bosnien und Herzegowina	 23	 16	 75
Botsuana	 46	 31	 176
Brasilien
- Brasilia	 51	 34	 88
- Rio de Janeiro	 69	 46	 140
- Sao Paulo	46	 31	 151
- im Übrigen	 46	 31	 88
Brunei	 45	 30	 110
Bulgarien	 22	 15	 115
Burkina Faso	 38	 25	 174
Burundi	36	 24	 138
Chile	 44	 29	 154
China
- Chengdu	 41	 28	 131
- Hongkong	71	 48	 169
- Kanton	 36	 24	 150
- Peking	 30	 20	 185
- Shanghai	58	 39	 217
- im Übrigen	 48	 32	 112
Costa Rica	 60	 40	 127
Côte d’Ivoire	 59	 40	 166
Dänemark	75	 50	 183
Deutschland	28	14	0
Dominikanische Republik	50	 33	 167
Dschibuti	 77	 52	 255
Ecuador	 27	 18	 103
El Salvador	65	 44	 161
Eritrea	 46	 31	 78
Estland	 29	 20	 85
Fidschi	 32	 21	 183
Finnland	54	 36	 171
Frankreich
- Paris sowie die	 58	 39	 159
Departments 77, 78, 91 bis 95
- im Übrigen	53	 36	 105
Gabun	64	 43	 263
Gambia	 40	 27	 161
Georgien	45	 30	 87
Ghana	46	 31	 203
Griechenland
- Athen	 40	 27	 139
- im Übrigen	36	 24	 150
Guatemala	 46	 31	 124
Guinea	 59	 40	 140
Guinea-Bissau	 32	 21	 113
Haiti	58	 39	 130
Honduras	57	 38	 198
Indien
- Bangalore	 42	 28	 155
- Chennai	22	 15	 80
- Kalkutta	 32	 21	 167
- Mumbai	 53	 36	 218
- Neu Delhi	 46	 31	 211
- im Übrigen	22	 15	 80
Indonesien	 45	 30	 179
Iran	 33	 22	 196
Irland	58	 39	 129
Island	62	 41	 187
Israel	66	 44	 190
Italien
- Mailand	42	 28	 191
- Rom	 48	 32	 150
- im Übrigen	42	 28	 150
Jamaika	 39	 26	 171
Japan
- Tokio	 50	 33	 285
- Osaka	 33	 22	 141
- im Übrigen	33	 22	 141
Jemen	 24	 16	 95
Jordanien	57	 38	 134
Kambodscha	 42	 28	 108
Kamerun	 56	 37	 275
Kanada
- Ottawa	 62	 41	 214
- Toronto	54	 36	 392
- Vancouver	 63	 42	 304
- im Übrigen	54	 36	 214
Kap Verde	38	 25	 90
Kasachstan	 33	 22	 108
Katar	 56	 37	 149
Kenia	 51	 34	 219
Kirgisistan	 27	 18	 74
Kolumbien	 34	 23	 123
Kongo, Republik	 62	 41	 215
Kongo, Demokratische Republik	65	 44	 337
Korea, Demokratische	28	 19	92
Volksrepublik
Korea, Republik	 48	 32	 108
Kosovo	 24	 16	 71
Kroatien	46	 31	 191
Kuba	 51	 34	 170
Kuwait	 56	 37	 241
Laos	 35	 24	 71
Lesotho	 28	 19	 104
Lettland	35	 24	 76
Libyen	 63	 42	 135
Libanon	 69	 46	 146
Liberia	 65	 44	 173
Liechtenstein	 56	 37	 190
Litauen	 26	 17	 109
Luxemburg	 63	 42	 139
Madagaskar	 33	 22	 116
Malawi	 41	 28	 109
Malaysia	36	 24	 86
Malediven	 70	 47	 200
Mali	 38	 25	 120
Malta	46	 31	 114
Marokko	 41	 28	 87
Marshall Inseln	 63	 42	 102
Mauretanien	35	 24	 86
Mauritius	 44	 29	 172
Mexiko	 48	 32	 177
Moldau, Republik	 26	 17	 73
Monaco	 52	 35	 187
Mongolei	23	 16	 92
Montenegro	 32	 21	 85
Mosambik	51	 34	 208
Myanmar	 23	 16	 103
Namibia	 30	 20	 112
Nepal	36	 24	 126
Neuseeland	 58	 39	 148
Nicaragua	 46	 31	 105
Niederlande	47	 32	 122
Niger	42	 28	 131
Nigeria	 46	 31	 182
Nordmazedonien	27	 18	 89
Norwegen	75	 50	 139
Österreich	 50	 33	 117
Oman	 64	 43	 141
Pakistan
- Islamabad	 23	 16	 238
- im Übrigen	34	 23	 122
Palau	51	 34	 193
Panama	 41	 28	 82
Papua-Neuguinea	 59	 40	 159
Paraguay	39	 26	 124
Peru	 34	 23	 143
Philippinen	41	 28	 140
Polen
- Breslau	34	 23	 124
- Warschau	 40	 27	 143
- im Übrigen	34	 23	 124
Portugal	32	 21	 111
Ruanda	 44	 29	 117
Rumänien
- Bukarest	 32	 21	92
- im Übrigen	27	 18	89
Russische Föderation
- Moskau	 30	 20	 235
- St. Petersburg	 28	 19	 133
- im Übrigen	28	 19	 133
Sambia	 38	 25	 105
Samoa	39	 26	 105
San Marino	 34	 23	 79
São Tomé – Príncipe	 36	 24	 147
Saudi-Arabien
- Djidda	 57	 38	 181
- Riad	56	 37	 186
- im Übrigen	56	 37	 181
Schweden	66	 44	 140
Schweiz
- Genf	66	 44	 186
- im Übrigen	64	 43	 180
Senegal	 42	 28	 190
Serbien	 27	 18	 97
Sierra Leone	 57	 38	 145
Simbabwe	63	 42	 198
Singapur	71	 48	 277
Slowakische Republik	33	 22	 121
Slowenien	 38	 25	 126
Spanien
- Barcelona	 34	 23	 144
- Kanarische Inseln	 36	 24	 103
- Madrid	 42	 28	 131
- Palma de Mallorca	 44	 29	 142
- im Übrigen	34	 23	 103
Sri Lanka	 36	 24	 112
Sudan	33	 22	 195
Südafrika
- Kapstadt	 33	 22	 130
- Johannesburg	 36	 24	 129
- im Übrigen	29	 20	 109
Südsudan	51	 34	 159
Syrien	 38	 25	 140
Tadschikistan	 27	 18	 85
Taiwan	 51	 34	 174
Tansania	44	 29	 97
Thailand	36	 24	 114
Togo	 39	 26	 118
Tonga	29	 20	 102
Trinidad und Tobago	 66	 44	 203
Tschad	 42	 28	 155
Tschechische Republik	 32	 21	 77
Türkei
- Ankara	 32	 21	 110
- Izmir	 44	 29	 120
- im Übrigen	24	 16	 107
Tunesien	40	 27	 144
Turkmenistan	 28	 19	 135
Uganda	 41	 28	 143
Ukraine	 26	 17	 98
Ungarn	 32	 21	 85
Uruguay	 40	 27	 113
Usbekistan	 34	 23	 104
Vatikanstaat	 48	 32	 150
Venezuela	 45	 30	 127
Vereinigte Arabische Emirate	 65	 44	 156
Vereinigte Staaten von Amerika
(USA)
- Atlanta	 77	 52	 182
- Boston	 63	 42	 333
- Chicago	 65	 44	 233
- Houston	62	 41	 204
- Los Angeles	 64	 43	 262
- Miami	 65	 44	 256
- New York City	 66	 44	 308
- San Francisco	59	 40	 327
- Washington, D. C.	 66	 44	 203
- im Übrigen	59	 40	 182
Vereinigtes Königreich von
Großbritannien und Nordirland
- London	 66	 44	 163
- im Übrigen	 52	 35	 99
Vietnam	 36	 24	 111
Weißrussland	 20	 13	 98
Zentralafrikanische Republik	 53	 36	 210
Zypern	 42	 28	 125
